method,sid,sequence_identity,sequence_similarity,len
mpnn,2C4F_U,0.49137931034482757,0.6637931034482759,116
carbonara_maxseqid,2E21_A,0.5047318611987381,0.7066246056782335,317
carbonara_minseqid,2E21_A,0.15772870662460567,0.5993690851735016,317
carbonara_minseqsim,2E21_A,0.1608832807570978,0.33753943217665616,317
esm,2E21_A,0.6025236593059937,0.7728706624605678,317
mpnn,2E21_A,0.4952681388012618,0.6435331230283912,317
carbonara_maxseqid,2E21_B,0.5254777070063694,0.7388535031847133,314
carbonara_minseqid,2E21_B,0.15286624203821655,0.5987261146496815,314
carbonara_minseqsim,2E21_B,0.15286624203821655,0.31528662420382164,314
esm,2E21_B,0.5573248407643312,0.7261146496815286,314
mpnn,2E21_B,0.5477707006369427,0.6847133757961783,314
carbonara_maxseqid,2E89_A,0.5110410094637224,0.6782334384858044,317
carbonara_minseqid,2E89_A,0.15772870662460567,0.5457413249211357,317
carbonara_minseqsim,2E89_A,0.15772870662460567,0.31230283911671924,317
esm,2E89_A,0.5678233438485805,0.7381703470031545,317
mpnn,2E89_A,0.5078864353312302,0.668769716088328,317
carbonara_maxseqid,2E89_B,0.5222929936305732,0.7261146496815286,314
carbonara_minseqid,2E89_B,0.1305732484076433,0.5732484076433121,314
carbonara_minseqsim,2E89_B,0.1337579617834395,0.2802547770700637,314
esm,2E89_B,0.5828025477707006,0.7770700636942676,314
mpnn,2E89_B,0.5191082802547771,0.678343949044586,314
carbonara_maxseqid,2EC9_T,0.5866666666666667,0.7466666666666667,75
carbonara_minseqid,2EC9_T,0.12,0.5333333333333333,75
carbonara_minseqsim,2EC9_T,0.13333333333333333,0.3333333333333333,75
esm,2EC9_T,0.5733333333333334,0.6933333333333334,75
mpnn,2EC9_T,0.5466666666666666,0.68,75
carbonara_maxseqid,2EC9_U,0.5258620689655172,0.7068965517241379,116
carbonara_minseqid,2EC9_U,0.1724137931034483,0.5431034482758621,116
carbonara_minseqsim,2EC9_U,0.1724137931034483,0.3017241379310345,116
esm,2EC9_U,0.4827586206896552,0.6206896551724138,116
mpnn,2EC9_U,0.5258620689655172,0.6982758620689655,116
carbonara_maxseqid,3E18_A,0.5603448275862069,0.7155172413793104,348
carbonara_minseqid,3E18_A,0.22126436781609196,0.5775862068965517,348
carbonara_minseqsim,3E18_A,0.21839080459770116,0.3850574712643678,348
esm,3E18_A,0.5833333333333334,0.7385057471264368,348
mpnn,3E18_A,0.5862068965517241,0.7442528735632183,348
carbonara_maxseqid,3E18_B,0.6023738872403561,0.7626112759643917,337
carbonara_minseqid,3E18_B,0.18991097922848665,0.5905044510385756,337
carbonara_minseqsim,3E18_B,0.18991097922848665,0.39465875370919884,337
esm,3E18_B,0.6142433234421365,0.7596439169139466,337
mpnn,3E18_B,0.5578635014836796,0.712166172106825,337
carbonara_maxseqid,3EG1_A,0.6551724137931034,0.8103448275862069,58
carbonara_minseqid,3EG1_A,0.27586206896551724,0.7241379310344828,58
carbonara_minseqsim,3EG1_A,0.27586206896551724,0.5,58
esm,3EG1_A,0.5344827586206896,0.6551724137931034,58
mpnn,3EG1_A,0.7241379310344828,0.8275862068965517,58
carbonara_maxseqid,3EG1_B,0.6785714285714286,0.7678571428571429,56
carbonara_minseqid,3EG1_B,0.26785714285714285,0.625,56
carbonara_minseqsim,3EG1_B,0.26785714285714285,0.5,56
esm,3EG1_B,0.5535714285714286,0.6964285714285714,56
mpnn,3EG1_B,0.6071428571428571,0.75,56
carbonara_maxseqid,3N29_A,0.5067385444743935,0.7277628032345014,371
carbonara_minseqid,3N29_A,0.16711590296495957,0.6145552560646901,371
carbonara_minseqsim,3N29_A,0.16981132075471697,0.38544474393531,371
esm,3N29_A,0.6711590296495957,0.8221024258760108,371
mpnn,3N29_A,0.5606469002695418,0.738544474393531,371
carbonara_maxseqid,3N29_B,0.5313351498637602,0.7520435967302452,367
carbonara_minseqid,3N29_B,0.15258855585831063,0.6430517711171662,367
carbonara_minseqsim,3N29_B,0.15258855585831063,0.39509536784741145,367
esm,3N29_B,0.6430517711171662,0.8092643051771117,367
mpnn,3N29_B,0.5967302452316077,0.7602179836512262,367
carbonara_maxseqid,3SR3_A,0.5735735735735735,0.7537537537537538,333
carbonara_minseqid,3SR3_A,0.25225225225225223,0.6396396396396397,333
carbonara_minseqsim,3SR3_A,0.25225225225225223,0.4444444444444444,333
esm,3SR3_A,0.6336336336336337,0.7987987987987988,333
mpnn,3SR3_A,0.5375375375375375,0.6816816816816816,333
carbonara_maxseqid,3SR3_B,0.6085526315789473,0.7598684210526315,304
carbonara_minseqid,3SR3_B,0.2730263157894737,0.6414473684210527,304
carbonara_minseqsim,3SR3_B,0.2730263157894737,0.4934210526315789,304
esm,3SR3_B,0.6414473684210527,0.805921052631579,304
mpnn,3SR3_B,0.5921052631578947,0.756578947368421,304
carbonara_maxseqid,3T5M_A,0.6059701492537314,0.8029850746268656,335
carbonara_minseqid,3T5M_A,0.28059701492537314,0.6955223880597015,335
carbonara_minseqsim,3T5M_A,0.27761194029850744,0.4835820895522388,335
esm,3T5M_A,0.6805970149253732,0.8388059701492537,335
mpnn,3T5M_A,0.608955223880597,0.7791044776119403,335
carbonara_maxseqid,3T5M_B,0.6066066066066066,0.7927927927927928,333
carbonara_minseqid,3T5M_B,0.27927927927927926,0.6846846846846847,333
carbonara_minseqsim,3T5M_B,0.2822822822822823,0.4924924924924925,333
esm,3T5M_B,0.6486486486486487,0.8198198198198198,333
mpnn,3T5M_B,0.5945945945945946,0.7477477477477478,333
carbonara_maxseqid,3TYX_A,0.5761194029850746,0.7701492537313432,335
carbonara_minseqid,3TYX_A,0.23880597014925373,0.6597014925373135,335
carbonara_minseqsim,3TYX_A,0.23880597014925373,0.44477611940298506,335
esm,3TYX_A,0.591044776119403,0.7671641791044777,335
mpnn,3TYX_A,0.564179104477612,0.7492537313432835,335
carbonara_maxseqid,3TYX_B,0.5421686746987951,0.7319277108433735,332
carbonara_minseqid,3TYX_B,0.23795180722891565,0.6204819277108434,332
carbonara_minseqsim,3TYX_B,0.23795180722891565,0.4367469879518072,332
esm,3TYX_B,0.608433734939759,0.7831325301204819,332
mpnn,3TYX_B,0.5873493975903614,0.7590361445783133,332
carbonara_maxseqid,3U1B_A,0.5982142857142857,0.7678571428571429,336
carbonara_minseqid,3U1B_A,0.2619047619047619,0.6458333333333334,336
carbonara_minseqsim,3U1B_A,0.2619047619047619,0.4642857142857143,336
esm,3U1B_A,0.6458333333333334,0.8065476190476191,336
mpnn,3U1B_A,0.5892857142857143,0.7559523809523809,336
carbonara_maxseqid,3U1B_B,0.6006006006006006,0.7597597597597597,333
carbonara_minseqid,3U1B_B,0.2822822822822823,0.6516516516516516,333
carbonara_minseqsim,3U1B_B,0.27927927927927926,0.46846846846846846,333
esm,3U1B_B,0.6336336336336337,0.8078078078078078,333
mpnn,3U1B_B,0.6006006006006006,0.7537537537537538,333
carbonara_maxseqid,4INJ_A,0.5797546012269938,0.7515337423312883,326
carbonara_minseqid,4INJ_A,0.19938650306748465,0.6196319018404908,326
carbonara_minseqsim,4INJ_A,0.19938650306748465,0.41411042944785276,326
esm,4INJ_A,0.588957055214724,0.7883435582822086,326
mpnn,4INJ_A,0.50920245398773,0.6809815950920245,326
carbonara_maxseqid,4INJ_B,0.5398773006134969,0.7423312883435583,326
carbonara_minseqid,4INJ_B,0.1901840490797546,0.6257668711656442,326
carbonara_minseqsim,4INJ_B,0.1901840490797546,0.401840490797546,326
esm,4INJ_B,0.5766871165644172,0.7515337423312883,326
mpnn,4INJ_B,0.5245398773006135,0.6932515337423313,326
carbonara_maxseqid,4JVO_A,0.5892857142857143,0.7678571428571429,336
carbonara_minseqid,4JVO_A,0.23809523809523808,0.625,336
carbonara_minseqsim,4JVO_A,0.23809523809523808,0.4494047619047619,336
esm,4JVO_A,0.6666666666666666,0.8422619047619048,336
mpnn,4JVO_A,0.5892857142857143,0.7648809523809523,336
carbonara_maxseqid,4JVO_B,0.572289156626506,0.75,332
carbonara_minseqid,4JVO_B,0.26506024096385544,0.6445783132530121,332
carbonara_minseqsim,4JVO_B,0.26506024096385544,0.46987951807228917,332
esm,4JVO_B,0.6445783132530121,0.8343373493975904,332
mpnn,4JVO_B,0.5963855421686747,0.7530120481927711,332
carbonara_maxseqid,4MJX_A,0.5915915915915916,0.7657657657657657,333
carbonara_minseqid,4MJX_A,0.2672672672672673,0.6516516516516516,333
carbonara_minseqsim,4MJX_A,0.2672672672672673,0.4864864864864865,333
esm,4MJX_A,0.6516516516516516,0.8258258258258259,333
mpnn,4MJX_A,0.5945945945945946,0.7507507507507507,333
carbonara_maxseqid,4MJX_B,0.5892857142857143,0.7767857142857143,336
carbonara_minseqid,4MJX_B,0.24107142857142858,0.6369047619047619,336
carbonara_minseqsim,4MJX_B,0.24702380952380953,0.4523809523809524,336
esm,4MJX_B,0.6488095238095238,0.8065476190476191,336
mpnn,4MJX_B,0.5863095238095238,0.7708333333333334,336
carbonara_maxseqid,5AWW_G,0.4,0.56,75
carbonara_minseqid,5AWW_G,0.17333333333333334,0.52,75
carbonara_minseqsim,5AWW_G,0.17333333333333334,0.28,75
esm,5AWW_G,0.48,0.5866666666666667,75
mpnn,5AWW_G,0.29333333333333333,0.4266666666666667,75
carbonara_maxseqid,5AWW_Y,0.5613207547169812,0.7358490566037735,424
carbonara_minseqid,5AWW_Y,0.20518867924528303,0.6415094339622641,424
carbonara_minseqsim,5AWW_Y,0.20518867924528303,0.3938679245283019,424
esm,5AWW_Y,0.5542452830188679,0.7216981132075472,424
mpnn,5AWW_Y,0.455188679245283,0.6037735849056604,424
carbonara_maxseqid,5CH4_G,0.36486486486486486,0.5540540540540541,74
carbonara_minseqid,5CH4_G,0.1891891891891892,0.5405405405405406,74
carbonara_minseqsim,5CH4_G,0.1891891891891892,0.3783783783783784,74
esm,5CH4_G,0.4594594594594595,0.6216216216216216,74
mpnn,5CH4_G,0.2972972972972973,0.47297297297297297,74
carbonara_maxseqid,5CH4_Y,0.5106888361045131,0.6959619952494062,421
carbonara_minseqid,5CH4_Y,0.17814726840855108,0.5890736342042755,421
carbonara_minseqsim,5CH4_Y,0.17814726840855108,0.3182897862232779,421
esm,5CH4_Y,0.47980997624703087,0.6270783847980997,421
mpnn,5CH4_Y,0.42042755344418054,0.6009501187648456,421
carbonara_maxseqid,5LV6_A,0.3409090909090909,0.5454545454545454,44
carbonara_minseqid,5LV6_A,0.20454545454545456,0.5,44
carbonara_minseqsim,5LV6_A,0.20454545454545456,0.3181818181818182,44
esm,5LV6_A,0.20454545454545456,0.4772727272727273,44
mpnn,5LV6_A,0.9772727272727273,0.9772727272727273,44
carbonara_maxseqid,5LV6_B,0.3181818181818182,0.5227272727272727,44
carbonara_minseqid,5LV6_B,0.20454545454545456,0.4772727272727273,44
carbonara_minseqsim,5LV6_B,0.20454545454545456,0.29545454545454547,44
esm,5LV6_B,0.22727272727272727,0.4772727272727273,44
mpnn,5LV6_B,0.9772727272727273,0.9772727272727273,44
carbonara_maxseqid,6PNW_A,0.5161290322580645,0.7258064516129032,62
carbonara_minseqid,6PNW_A,0.22580645161290322,0.532258064516129,62
carbonara_minseqsim,6PNW_A,0.22580645161290322,0.27419354838709675,62
esm,6PNW_A,0.5161290322580645,0.7258064516129032,62
mpnn,6PNW_A,0.5483870967741935,0.7258064516129032,62
carbonara_maxseqid,6PNW_B,0.46774193548387094,0.6935483870967742,62
carbonara_minseqid,6PNW_B,0.25806451612903225,0.5483870967741935,62
carbonara_minseqsim,6PNW_B,0.25806451612903225,0.27419354838709675,62
esm,6PNW_B,0.4838709677419355,0.6451612903225806,62
mpnn,6PNW_B,0.5161290322580645,0.7258064516129032,62
